gname,target,Number_of_Cases
Movement for the Emancipation of the Niger Delta (MEND),Private Citizens & Property,8
Movement for the Emancipation of the Niger Delta (MEND),Utilities,23
Movement for the Emancipation of the Niger Delta (MEND),Violent Political Party,1
Movement for the Protection of Jerusalem,Transportation,1
Movement for the Restoration of the Independence of Southern Cameroons,Private Citizens & Property,2
Movement for the Supremacy of Reason,Educational Institution,1
Movement of Democratic Forces of Casamance,Business,3
Movement of Democratic Forces of Casamance,Educational Institution,2
Movement of Democratic Forces of Casamance,Government (General),7
Movement of Democratic Forces of Casamance,Military,22
Movement of Democratic Forces of Casamance,Police,6
Movement of Democratic Forces of Casamance,Private Citizens & Property,22
Movement of Democratic Forces of Casamance,Religious Figures/Institutions,2
Movement of Democratic Forces of Casamance,Tourists,1
Movement of Democratic Forces of Casamance,Transportation,13
Movement of Democratic Forces of Casamance,Utilities,1
Movement of Islamic Action of Iraq,Government (Diplomatic),2
Movement of Niger People for Justice (MNJ),Business,2
Movement of Niger People for Justice (MNJ),Government (General),2
Movement of Niger People for Justice (MNJ),Military,3
Movement of Niger People for Justice (MNJ),Police,1
Movement of Niger People for Justice (MNJ),Private Citizens & Property,2
Movement of the Islamic State (MEI),Government (General),1
Movement of the Revolutionary Left (MIR) (Bolivia),Military,1
Movement of the Revolutionary Left (MIR) (Chile),Airports & Aircraft,3
Movement of the Revolutionary Left (MIR) (Chile),Business,85
Movement of the Revolutionary Left (MIR) (Chile),Educational Institution,5
Movement of the Revolutionary Left (MIR) (Chile),Food or Water Supply,1
Movement of the Revolutionary Left (MIR) (Chile),Government (General),14
Movement of the Revolutionary Left (MIR) (Chile),Journalists & Media,9
Movement of the Revolutionary Left (MIR) (Chile),Military,1
Movement of the Revolutionary Left (MIR) (Chile),Police,33
Movement of the Revolutionary Left (MIR) (Chile),Private Citizens & Property,24
Movement of the Revolutionary Left (MIR) (Chile),Religious Figures/Institutions,4
Movement of the Revolutionary Left (MIR) (Chile),Telecommunication,1
Movement of the Revolutionary Left (MIR) (Chile),Transportation,42
Movement of the Revolutionary Left (MIR) (Chile),Utilities,84
Movement of the Revolutionary Left (MIR) (Peru),Business,1
Movement of the Revolutionary Left (MIR) (Peru),Government (Diplomatic),1
Movement of the Revolutionary Left (MIR) (Peru),Government (General),2
Movement of the Revolutionary Left (MIR) (Peru),Journalists & Media,3
Movement of the Revolutionary Left (MIR) (Venezuela),Business,1
Movement of the Revolutionary Left (MIR) (Venezuela),Utilities,1
Movement of the Third Reich,Government (General),1
Mozambican Rebels,Transportation,1
Mozambican Rebels,Utilities,1
Mozambique Liberation Front (FRELIMO),Government (General),1
Mozambique Liberation Front (FRELIMO),Military,1
Mozambique Liberation Front (FRELIMO),Private Citizens & Property,2
Mozambique Liberation Front (FRELIMO),Violent Political Party,1
Mozambique National Resistance Movement (MNR),Airports & Aircraft,1
Mozambique National Resistance Movement (MNR),Business,35
Mozambique National Resistance Movement (MNR),Educational Institution,2
Mozambique National Resistance Movement (MNR),Food or Water Supply,3
Mozambique National Resistance Movement (MNR),Government (Diplomatic),1
Mozambique National Resistance Movement (MNR),Government (General),23
Mozambique National Resistance Movement (MNR),Journalists & Media,1
Mozambique National Resistance Movement (MNR),Maritime,2
Mozambique National Resistance Movement (MNR),Military,35
Mozambique National Resistance Movement (MNR),NGO,2
Mozambique National Resistance Movement (MNR),Police,13
Mozambique National Resistance Movement (MNR),Private Citizens & Property,108
Mozambique National Resistance Movement (MNR),Religious Figures/Institutions,7
Mozambique National Resistance Movement (MNR),Transportation,51
Mozambique National Resistance Movement (MNR),Utilities,19
Mozambique National Resistance Movement (MNR),Violent Political Party,8
Mozambique Rightest Rebels,Transportation,1
Muhammed Shuqayr Group,Private Citizens & Property,1
Mujahedeen Army,Business,1
Mujahedeen Army,Military,1
Mujahedeen Army,Private Citizens & Property,1
Mujahedeen Brigades,Private Citizens & Property,1
Mujahedeen Corps in Iraq,Business,1
Mujahedeen Corps in Iraq,Government (Diplomatic),1
Mujahedeen Group,Private Citizens & Property,1
Mujahedeen Shura Council,Government (General),3
Mujahedeen Shura Council,Police,2
Mujahedeen Shura Council,Private Citizens & Property,3
Mujahedeen Shura Council in the Environs of Jerusalem,Business,1
Mujahedeen Shura Council in the Environs of Jerusalem,Private Citizens & Property,3
Mujahedeen Shura Council in the Environs of Jerusalem,Unknown,1
Mujahedin Kompak,Religious Figures/Institutions,1
Mujahedin-e Khalq (MEK),Airports & Aircraft,3
Mujahedin-e Khalq (MEK),Business,12
Mujahedin-e Khalq (MEK),Educational Institution,1
Mujahedin-e Khalq (MEK),Government (Diplomatic),17
Mujahedin-e Khalq (MEK),Government (General),24
Mujahedin-e Khalq (MEK),Journalists & Media,1
Mujahedin-e Khalq (MEK),Military,25
Mujahedin-e Khalq (MEK),NGO,2
Mujahedin-e Khalq (MEK),Police,9
Mujahedin-e Khalq (MEK),Private Citizens & Property,11
Mujahedin-e Khalq (MEK),Religious Figures/Institutions,4
Mujahedin-e Khalq (MEK),Transportation,1
Mujahedin-e Khalq (MEK),Utilities,2
Mujahideen Ansar,Government (General),1
Mujahideen Ansar,Military,14
Mujahideen Ansar,Police,1
Mujahideen Ansar,Private Citizens & Property,2
Mujahideen Islam Pattani,Educational Institution,1
Mujahideen Islam Pattani,Police,2
Mujahideen Islam Pattani,Transportation,1
Mujahideen Kashmir,Business,1
Mujahideen Kashmir,Educational Institution,1
Mujahideen Kashmir,Police,3
Mujahideen Kashmir,Transportation,1
Mujahideen Youth Movement (MYM),Government (Diplomatic),1
Mujahideen Youth Movement (MYM),Government (General),8
Mujahideen Youth Movement (MYM),Military,8
Mujahideen Youth Movement (MYM),Police,5
Mujahideen Youth Movement (MYM),Private Citizens & Property,1
Mujahidin Ambon,Private Citizens & Property,1
Mujahidin Indonesia Timur (MIT),Military,1
Mujahidin Indonesia Timur (MIT),Police,10
Mujahidin Indonesia Timur (MIT),Private Citizens & Property,10
Mukhtar Army,Military,1
Mukhtar Army,Private Citizens & Property,2
Mukhtar Army,Terrorists/Non-State Militia,1
Mullah Dadullah Front,Unknown,1
Munadil al-Jumalyi Brigade,Business,1
Mungiki Sect,Police,3
Mungiki Sect,Private Citizens & Property,1
Mungiki Sect,Transportation,1
Murle Tribe,Private Citizens & Property,26
Musa Sudi Yalahow Militia,Government (General),1
Muslim Brotherhood,Airports & Aircraft,1
Muslim Brotherhood,Business,9
Muslim Brotherhood,Educational Institution,4
Muslim Brotherhood,Government (Diplomatic),2
Muslim Brotherhood,Government (General),21
Muslim Brotherhood,Journalists & Media,1
Muslim Brotherhood,Military,30
Muslim Brotherhood,Police,15
Muslim Brotherhood,Private Citizens & Property,14
Muslim Brotherhood,Religious Figures/Institutions,7
Muslim Brotherhood,Terrorists/Non-State Militia,1
Muslim Brotherhood,Transportation,11
Muslim Brotherhood,Unknown,9
Muslim Commando (Iraqi revolutionary brothers),Utilities,1
Muslim Demonstrators,Police,1
Muslim Demonstrators,Religious Figures/Institutions,4
Muslim Fundamentalists,Business,15
Muslim Fundamentalists,Educational Institution,6
Muslim Fundamentalists,Government (General),6
Muslim Fundamentalists,Journalists & Media,3
Muslim Fundamentalists,Maritime,1
Muslim Fundamentalists,Military,4
Muslim Fundamentalists,Police,37
Muslim Fundamentalists,Private Citizens & Property,11
Muslim Fundamentalists,Religious Figures/Institutions,4
Muslim Fundamentalists,Transportation,1
Muslim Guerrillas,Business,2
Muslim Guerrillas,Maritime,1
Muslim Guerrillas,Military,1
Muslim Guerrillas,Private Citizens & Property,3
Muslim Guerrillas,Tourists,1
Muslim Guerrillas,Transportation,2
Muslim Guerrillas,Unknown,1
Muslim Guerrillas,Utilities,2
Muslim Janbaz Force,Business,1
Muslim Janbaz Force,Military,2
Muslim Liberation Front,Military,1
Muslim Militants,Airports & Aircraft,2
Muslim Militants,Business,24
Muslim Militants,Educational Institution,2
Muslim Militants,Government (Diplomatic),1
Muslim Militants,Government (General),23
Muslim Militants,Journalists & Media,4
Muslim Militants,Maritime,1
Muslim Militants,Military,16
Muslim Militants,Police,70
Muslim Militants,Private Citizens & Property,76
Muslim Militants,Religious Figures/Institutions,53
Muslim Militants,Telecommunication,2
Muslim Militants,Terrorists/Non-State Militia,1
Muslim Militants,Tourists,5
Muslim Militants,Transportation,10
Muslim Militants,Unknown,3
Muslim Militants,Violent Political Party,1
Muslim Rebels,Airports & Aircraft,1
Muslim Rebels,Business,3
Muslim Rebels,Educational Institution,1
Muslim Rebels,Government (General),3
Muslim Rebels,Journalists & Media,1
Muslim Rebels,Military,4
Muslim Rebels,Police,1
Muslim Rebels,Private Citizens & Property,26
Muslim Rebels,Transportation,4
Muslim Rebels,Unknown,1
Muslim Rebels,Utilities,3
Muslim Renewal,Religious Figures/Institutions,1
Muslim Separatists,Business,9
Muslim Separatists,Educational Institution,9
Muslim Separatists,Government (General),28
Muslim Separatists,Military,6
Muslim Separatists,Police,22
Muslim Separatists,Private Citizens & Property,53
Muslim Separatists,Religious Figures/Institutions,4
Muslim Separatists,Telecommunication,1
Muslim Separatists,Terrorists/Non-State Militia,1
Muslim Separatists,Tourists,1
Muslim Separatists,Transportation,7
Muslim Separatists,Unknown,21
Muslim Separatists,Utilities,1
Muslim United Army (MUA),Business,1
Muslim United Liberation Tigers of Assam (MULTA),Unknown,1
Muslim Youth,Police,1
Muslim Youth,Private Citizens & Property,1
Muslim Youth,Religious Figures/Institutions,1
Muslim extremists,Airports & Aircraft,10
Muslim extremists,Business,55
Muslim extremists,Educational Institution,20
Muslim extremists,Food or Water Supply,1
Muslim extremists,Government (Diplomatic),14
Muslim extremists,Government (General),41
Muslim extremists,Journalists & Media,7
Muslim extremists,Maritime,1
Muslim extremists,Military,132
Muslim extremists,NGO,4
Muslim extremists,Police,82
Muslim extremists,Private Citizens & Property,171
Muslim extremists,Religious Figures/Institutions,51
Muslim extremists,Terrorists/Non-State Militia,11
Muslim extremists,Transportation,9
Muslim extremists,Unknown,13
Muslim extremists,Utilities,8
Muslim extremists,Violent Political Party,2
Muslims,Airports & Aircraft,2
Muslims,Business,6
Muslims,Educational Institution,1
Muslims,Government (General),2
Muslims,Military,2
Muslims,Police,5
Muslims,Private Citizens & Property,22
Muslims,Religious Figures/Institutions,5
Muslims,Tourists,1
Muslims,Transportation,1
Muslims Against Global Oppression (MAGO),Business,1
Mustafa Aktas Fighting Unit,Private Citizens & Property,1
Mustafa al-Hujairi Group,Private Citizens & Property,3
Mutahida Majlis-e-Amal,Police,1
Mutahida Majlis-e-Amal,Transportation,1
Mutassim Billah Gaddafi Battalion,Private Citizens & Property,1
Muttahida Qami Movement (MQM),Business,8
Muttahida Qami Movement (MQM),Government (General),13
Muttahida Qami Movement (MQM),Journalists & Media,1
Muttahida Qami Movement (MQM),Military,5
Muttahida Qami Movement (MQM),Police,15
Muttahida Qami Movement (MQM),Private Citizens & Property,98
Muttahida Qami Movement (MQM),Transportation,8
Muttahida Qami Movement (MQM),Unknown,1
Muttahida Qami Movement (MQM),Violent Political Party,25
Mwakenya Dissident Movement,Transportation,2
NVF,Police,2
NVF,Private Citizens & Property,2
Naga National Council (NNC),Terrorists/Non-State Militia,1
Naga National Council (NNC),Transportation,1
Naga People,Government (General),1
Naga People,Military,1
Naga People,Police,6
Naga People,Private Citizens & Property,9
Naga People's Council (NPC),Unknown,1
Naga Students Federation,Business,2
Naga extremists,Government (General),1
Naga extremists,Military,1
Nahzat e Eslami,NGO,1
Najd Province of the Islamic State,Government (General),2
Najd Province of the Islamic State,Police,3
Najd Province of the Islamic State,Private Citizens & Property,1
Najd Province of the Islamic State,Religious Figures/Institutions,3
Najib Watan Party Faction,Journalists & Media,1
Nalut Group,Business,1
Namchong-Nyon Students,Police,1
Nandi Tribe,Private Citizens & Property,4
Nara Red Army,Government (General),1
Narco-Terrorists,Airports & Aircraft,4
Narco-Terrorists,Business,102
Narco-Terrorists,Educational Institution,15
Narco-Terrorists,Government (General),35
Narco-Terrorists,Journalists & Media,10
Narco-Terrorists,Military,8
Narco-Terrorists,Police,114
Narco-Terrorists,Private Citizens & Property,63
Narco-Terrorists,Religious Figures/Institutions,2
Narco-Terrorists,Telecommunication,4
Narco-Terrorists,Transportation,6
Narco-Terrorists,Utilities,5
National Accord Movement,Government (General),1
National Alliance (Chad),Private Citizens & Property,3
National Anti Communist Commando,Government (General),3
National Anti-Corruption Front (FNA),Business,1
National Army for the Liberation of Uganda (NALU),Business,1
National Awami Party,Government (General),1
National Bolshevik Party (Partiya Natsionalnikh Bolshevikov - PNB),Religious Figures/Institutions,1
National Committee Against Independence (CNCI),Government (General),1
National Committee Against Independence (CNCI),Violent Political Party,1
National Committee for the Restoration of Democracy and State (CNRDR),Government (General),1
National Committee to Combat Fascism,Police,2
National Congress for the Defense of the People (CNDP),Government (Diplomatic),2
National Congress for the Defense of the People (CNDP),Private Citizens & Property,3
National Council for Defense of Democracy (NCDD),Educational Institution,1
National Council for Defense of Democracy (NCDD),Government (Diplomatic),2
National Council for Defense of Democracy (NCDD),Government (General),1
National Council for Defense of Democracy (NCDD),Maritime,1
National Council for Defense of Democracy (NCDD),Military,3
National Council for Defense of Democracy (NCDD),Police,1
National Council for Defense of Democracy (NCDD),Private Citizens & Property,5
National Council for Defense of Democracy (NCDD),Utilities,1
National Council for Revival and Democracy (CNRD),Terrorists/Non-State Militia,2
National Council of Maubere Resistance,Military,1
National Defense Youth Corps,Government (General),1
National Democratic Alliance (NDA),Government (General),1
National Democratic Alliance (NDA),Police,1
National Democratic Alliance Army (NDAA-ESSA),Business,2
National Democratic Alliance Army (NDAA-ESSA),Military,4
National Democratic Alliance Army (NDAA-ESSA),NGO,2
National Democratic Alliance Army (NDAA-ESSA),Private Citizens & Property,2
National Democratic Alliance Army (NDAA-ESSA),Terrorists/Non-State Militia,1
National Democratic Alliance Army (NDAA-ESSA),Utilities,1
National Democratic Alliance of Sudan,Transportation,1
National Democratic Front of Bodoland (NDFB),Business,23
National Democratic Front of Bodoland (NDFB),Government (General),7
National Democratic Front of Bodoland (NDFB),Journalists & Media,2
National Democratic Front of Bodoland (NDFB),Military,12
National Democratic Front of Bodoland (NDFB),Police,16
National Democratic Front of Bodoland (NDFB),Private Citizens & Property,85
National Democratic Front of Bodoland (NDFB),Terrorists/Non-State Militia,2
National Democratic Front of Bodoland (NDFB),Transportation,20
National Democratic Front of Bodoland (NDFB),Unknown,8
National Democratic Front of Liberia,Religious Figures/Institutions,1
National Democratic Front-Bicol (NDF-Bicol),Business,1
National Democratic Front-Bicol (NDF-Bicol),Military,2
National Democratic Party,Business,1
National Democratic Party,Private Citizens & Property,1
National Development Party (NDP),Government (General),1
National Freedom Party,Government (General),1
National Front (Greece),Business,1
National Front Against Tigers (NFAT),Government (Diplomatic),1
National Front Against Tigers (NFAT),NGO,2
National Front Security Service,Government (General),1
National Front for the Liberation of Belgium,Business,1
National Front for the Liberation of Cuba (FLNC),Airports & Aircraft,2
National Front for the Liberation of Cuba (FLNC),Business,8
National Front for the Liberation of Cuba (FLNC),Government (Diplomatic),8
National Front for the Liberation of Cuba (FLNC),Government (General),2
National Front for the Liberation of Cuba (FLNC),Maritime,2
National Front for the Revolution in Burundi (FRONABU-Tabara),Police,2
National Front for the Salvation of Libya,Government (General),1
National Front for the Salvation of Libya,Journalists & Media,1
National Front for the Salvation of Libya,Military,1
National Front for the Salvation of Libya,Private Citizens & Property,1
National Independent Committee for Political Prisoners and Persecuted and Missing Persons,Government (Diplomatic),2
National Integration Front (FIN),Business,3
National Integration Front (FIN),Police,1
National League for Democracy,Business,2
National Liberation Alliance of Sa Kaeo,Educational Institution,1
National Liberation Army (Ecuador),Business,2
National Liberation Army (Ecuador),Journalists & Media,1
National Liberation Army (El Salvador),Government (General),1
National Liberation Army (NLA) (Macedonia),Business,3
National Liberation Army (NLA) (Macedonia),Military,1
National Liberation Army (NLA) (Macedonia),Police,25
National Liberation Army (NLA) (Macedonia),Private Citizens & Property,4
National Liberation Army (NLA) (Macedonia),Religious Figures/Institutions,1
National Liberation Army (NLA) (Macedonia),Transportation,1
National Liberation Army (Nepal),Government (General),1
National Liberation Army (Peru),Military,1
National Liberation Army (Peru),Private Citizens & Property,1
National Liberation Army of Colombia (ELN),Airports & Aircraft,9
National Liberation Army of Colombia (ELN),Business,258
National Liberation Army of Colombia (ELN),Educational Institution,16
National Liberation Army of Colombia (ELN),Food or Water Supply,1
National Liberation Army of Colombia (ELN),Government (Diplomatic),14
National Liberation Army of Colombia (ELN),Government (General),171
National Liberation Army of Colombia (ELN),Journalists & Media,37
National Liberation Army of Colombia (ELN),Maritime,3
National Liberation Army of Colombia (ELN),Military,213
National Liberation Army of Colombia (ELN),NGO,3
National Liberation Army of Colombia (ELN),Police,180
National Liberation Army of Colombia (ELN),Private Citizens & Property,206
National Liberation Army of Colombia (ELN),Religious Figures/Institutions,26
National Liberation Army of Colombia (ELN),Telecommunication,5
National Liberation Army of Colombia (ELN),Terrorists/Non-State Militia,5
National Liberation Army of Colombia (ELN),Tourists,6
National Liberation Army of Colombia (ELN),Transportation,88
National Liberation Army of Colombia (ELN),Unknown,29
National Liberation Army of Colombia (ELN),Utilities,291
National Liberation Council of Taniland,Private Citizens & Property,1
National Liberation Force of Bengalis (Bangali Janamukti Bahini),Private Citizens & Property,1
National Liberation Force of Bengalis (Bangali Janamukti Bahini),Transportation,2
National Liberation Force of Bengalis (Bangali Janamukti Bahini),Unknown,1
National Liberation Front (Ecuador),Private Citizens & Property,1
National Liberation Front (FNL) (Burundi),Business,4
National Liberation Front (FNL) (Burundi),Government (Diplomatic),1
National Liberation Front (FNL) (Burundi),Government (General),7
National Liberation Front (FNL) (Burundi),Military,8
National Liberation Front (FNL) (Burundi),Police,1
National Liberation Front (FNL) (Burundi),Private Citizens & Property,9
National Liberation Front (FNL) (Burundi),Religious Figures/Institutions,1
National Liberation Front (FNL) (Burundi),Transportation,1
National Liberation Front of Chad,Private Citizens & Property,1
National Liberation Front of Provence (FLNP),Business,2
National Liberation Front of Provence (FLNP),Government (General),1
National Liberation Front of Tripura (NLFT),Business,4
National Liberation Front of Tripura (NLFT),Government (General),13
National Liberation Front of Tripura (NLFT),Military,11
National Liberation Front of Tripura (NLFT),NGO,1
National Liberation Front of Tripura (NLFT),Police,4
National Liberation Front of Tripura (NLFT),Private Citizens & Property,37
National Liberation Front of Tripura (NLFT),Religious Figures/Institutions,1
National Liberation Front of Tripura (NLFT),Transportation,2
National Liberation Front of Tripura (NLFT),Utilities,1
National Liberation Front of Tripura (NLFT),Violent Political Party,4
National Liberation Movement Party,Violent Political Party,1
National Liberation People's Front (FPLN),Government (General),1
National Liberation Union,Business,1
National Liberation Union,Telecommunication,1
National Movement Against the Mahgreb Invasion,Business,1
National Movement of Iranian Resistance,Military,1
National Movement of Revolutionaries (MNR),Government (General),1
National Movement of Revolutionaries (MNR),Military,2
National Movement of Revolutionaries (MNR),Police,2
National Movement of Revolutionaries (MNR),Private Citizens & Property,1
National Organization of Cypriot Fighters (EOKA),Government (Diplomatic),1
National Organization of Cypriot Fighters (EOKA),Government (General),1
National Organization of Cypriot Fighters (EOKA),Military,1
National Organization of Cypriot Fighters (EOKA),Police,1
National Organization of Cypriot Fighters (EOKA),Private Citizens & Property,1
National Organization of Cypriot Fighters (EOKA),Religious Figures/Institutions,1
National Patriotic Front of Liberia (NPFL),Business,1
National Patriotic Front of Liberia (NPFL),Government (Diplomatic),1
National Patriotic Front of Liberia (NPFL),Government (General),1
National Patriotic Front of Liberia (NPFL),Maritime,1
National Patriotic Front of Liberia (NPFL),Military,4
National Patriotic Front of Liberia (NPFL),Police,1
National Patriotic Front of Liberia (NPFL),Private Citizens & Property,5
National Patriotic Front of Liberia (NPFL),Religious Figures/Institutions,2
National People's Movement Coordination Committee,Private Citizens & Property,3
National People's Party (Rashtriya Janata Dal - RJD),Government (General),1
National Redemption Front,Government (General),1
National Renewal Party,Government (General),1
National Republican Alliance Party,Government (General),1
National Republican Movement for Democracy and Development (MRND),Government (General),1
National Resistance Movement (NRM),Airports & Aircraft,1
National Resistance Movement (NRM),Military,1
National Resistance Movement (NRM),Private Citizens & Property,1
National Resistance Movement (NRM),Utilities,1
National Revolution,Government (General),3
National Revolutionary Command (Umar al-Mukhtar),Airports & Aircraft,1
National Revolutionary Command (Umar al-Mukhtar),Business,1
National Revolutionary Command (Umar al-Mukhtar),Government (Diplomatic),1
National Revolutionary Front,Food or Water Supply,1
National Revolutionary Front of Manipur (NRFM),Business,1
National Salvation Forces Organization,Government (General),1
National Santhali Liberation Army (NSLA),Business,1
National Socialist Civic Workers Movement,Business,1
National Socialist Civic Workers Movement,Private Citizens & Property,1
National Socialist Council of Nagaland,Government (General),3
National Socialist Council of Nagaland,Military,7
National Socialist Council of Nagaland,Police,6
National Socialist Council of Nagaland,Transportation,1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Business,7
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Educational Institution,2
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Government (General),14
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Military,5
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),NGO,1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Police,10
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Private Citizens & Property,32
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Religious Figures/Institutions,1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Terrorists/Non-State Militia,12
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Transportation,2
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Unknown,1
National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),Violent Political Party,2
National Socialist Council of Nagaland-Khaplang (NSCN-K),Business,9
National Socialist Council of Nagaland-Khaplang (NSCN-K),Educational Institution,1
National Socialist Council of Nagaland-Khaplang (NSCN-K),Government (General),1
National Socialist Council of Nagaland-Khaplang (NSCN-K),Military,21
National Socialist Council of Nagaland-Khaplang (NSCN-K),Police,1
National Socialist Council of Nagaland-Khaplang (NSCN-K),Private Citizens & Property,13
National Socialist Council of Nagaland-Khaplang (NSCN-K),Terrorists/Non-State Militia,5
National Socialist Council of Nagaland-Khaplang (NSCN-K),Unknown,5
National Socialist Council of Nagaland-Khaplang (NSCN-K),Violent Political Party,1
National Socialist Council of Nagaland-Khole-Kitovi (NSCN-KK),Private Citizens & Property,3
National Socialist Council of Nagaland-Reformation (NSCN-R),Government (General),1
National Socialist Council of Nagaland-Reformation (NSCN-R),Private Citizens & Property,1
National Socialist Council of Nagaland-Unification (NSCN-U),Private Citizens & Property,1
National Socialist Liberation Front,Government (General),1
National Socialist Underground,Business,2
National Socialist Underground,Police,1
National Socialist Underground,Private Citizens & Property,10
National Socialist Underground,Transportation,1
National Union for the Total Independence of Angola (UNITA),Airports & Aircraft,10
National Union for the Total Independence of Angola (UNITA),Business,25
National Union for the Total Independence of Angola (UNITA),Educational Institution,1
National Union for the Total Independence of Angola (UNITA),Food or Water Supply,7
National Union for the Total Independence of Angola (UNITA),Government (Diplomatic),9
National Union for the Total Independence of Angola (UNITA),Government (General),8
National Union for the Total Independence of Angola (UNITA),Journalists & Media,1
National Union for the Total Independence of Angola (UNITA),Maritime,1
National Union for the Total Independence of Angola (UNITA),Military,23
National Union for the Total Independence of Angola (UNITA),NGO,5
National Union for the Total Independence of Angola (UNITA),Police,10
National Union for the Total Independence of Angola (UNITA),Private Citizens & Property,134
National Union for the Total Independence of Angola (UNITA),Religious Figures/Institutions,3
National Union for the Total Independence of Angola (UNITA),Tourists,1
National Union for the Total Independence of Angola (UNITA),Transportation,16
National Union for the Total Independence of Angola (UNITA),Unknown,1
National Union for the Total Independence of Angola (UNITA),Utilities,177
"National United Front for an Independent, Neutral, Peaceful, and Cooperative Cambodia (FUNCINPEC)",Violent Political Party,2
National United Front of Democracy Against Dictatorship (UDD),Government (General),1
National Youth Resistance Organization,Business,1
National Youth Service of Zimbabwe,Government (General),1
Nationalist Integrationist Front (FNI),Government (Diplomatic),2
Nationalist Intervention Group,Business,1
Nationalist Intervention Group,Journalists & Media,1
Nationalist Intervention Group,Private Citizens & Property,1
Nationalist Patriotic Alliance (APN),Business,3
Nationalist Patriotic Alliance (APN),Journalists & Media,1
Nawasi Brigade,Military,1
Naxalites,Business,1
Naxalites,Government (General),22
Naxalites,Police,23
Naxalites,Private Citizens & Property,14
Naxalites,Transportation,5
Naxalites,Utilities,1
Naxalites,Violent Political Party,1
Nazhdak,Government (Diplomatic),1
Nazi Boerestat Party,Private Citizens & Property,1
Nduma Defense of Congo (NDC),Private Citizens & Property,3
Neo-Fascists,Business,5
Neo-Fascists,Educational Institution,1
Neo-Fascists,Government (General),4
Neo-Fascists,Journalists & Media,1
Neo-Fascists,Military,1
Neo-Fascists,Police,1
Neo-Fascists,Private Citizens & Property,3
Neo-Nazi extremists,Business,75
Neo-Nazi extremists,Educational Institution,3
Neo-Nazi extremists,Food or Water Supply,1
Neo-Nazi extremists,Government (Diplomatic),1
Neo-Nazi extremists,Government (General),14
Neo-Nazi extremists,Journalists & Media,1
Neo-Nazi extremists,Military,2
Neo-Nazi extremists,NGO,1
Neo-Nazi extremists,Police,15
Neo-Nazi extremists,Private Citizens & Property,104
Neo-Nazi extremists,Religious Figures/Institutions,14
Neo-Nazi extremists,Telecommunication,1
Neo-Nazi extremists,Tourists,6
Neo-Nazi extremists,Transportation,6
Neo-Nazi extremists,Unknown,2
Neo-Nazi extremists,Violent Political Party,1
Nepal Defense Army,Government (General),2
Nepal Defense Army,Journalists & Media,1
Nepal Defense Army,Religious Figures/Institutions,2
Nepal Defense Army,Unknown,1
Nepalbad Party,Government (General),1
Nepali Congress Party (NC),Government (General),1
Nepali Congress Party (NC),Private Citizens & Property,1
Nestor Paz Zamora Commission (CNPZ),Government (General),1
Nestor Paz Zamora Commission (CNPZ),Military,1
Nestor Paz Zamora Commission (CNPZ),Private Citizens & Property,1
New Armenian Resistance,Airports & Aircraft,4
New Armenian Resistance,Business,2
New Armenian Resistance,Government (Diplomatic),4
New Armenian Resistance,Government (General),1
New Armenian Resistance,Police,1
New Indigenous Army,Unknown,1
New Indigenous People's Army,Private Citizens & Property,1
New Jewish Defense League,Government (Diplomatic),4
New Order,Transportation,2
New Order- France,Airports & Aircraft,2
New Order- France,Journalists & Media,2
New Partisans Movement,Business,1
New Partisans Movement,Violent Political Party,1
New Patriotic Party (NPP),Government (General),1
New Patriotic Party (NPP),Private Citizens & Property,1
New People's Army (NPA),Airports & Aircraft,3
New People's Army (NPA),Business,422
New People's Army (NPA),Educational Institution,19
New People's Army (NPA),Food or Water Supply,7
New People's Army (NPA),Government (Diplomatic),8
New People's Army (NPA),Government (General),309
New People's Army (NPA),Journalists & Media,10
New People's Army (NPA),Maritime,1
New People's Army (NPA),Military,994
New People's Army (NPA),NGO,1
New People's Army (NPA),Other,1
New People's Army (NPA),Police,412
New People's Army (NPA),Private Citizens & Property,299
New People's Army (NPA),Religious Figures/Institutions,13
New People's Army (NPA),Telecommunication,61
New People's Army (NPA),Terrorists/Non-State Militia,25
New People's Army (NPA),Tourists,6
New People's Army (NPA),Transportation,68
New People's Army (NPA),Unknown,51
New People's Army (NPA),Utilities,62
New Revolutionary Alternative (NRA),Government (General),1
New Revolutionary Popular Struggle (NELA),Maritime,1
New Ugandan Army,Government (General),1
New World Liberation Front (NWLF),Business,28
New World Liberation Front (NWLF),Government (Diplomatic),3
New World Liberation Front (NWLF),Government (General),11
New World Liberation Front (NWLF),Journalists & Media,1
New World Liberation Front (NWLF),Military,1
New World Liberation Front (NWLF),NGO,1
New World Liberation Front (NWLF),Police,3
